well,id,well-id,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
A01,51,A01-51,iRFP,4,68.02416918,109.6618497,98.31593407,88.64880952,16.11625126,20.58167407,16.44577066,18.69719226,0.236919487,0.187683083,0.167274723,0.210913067
A01,52,A01-52,iRFP,1,42.82638889,NA,NA,NA,16.20563596,NA,NA,NA,0.378403045,NA,NA,NA
A01,53,A01-53,iRFP,9,29.60526316,82.05730659,54.29166667,44.375,14.07641121,18.26428505,13.62148423,16.13667468,0.47546989,0.222579631,0.250894567,0.363643373
A01,54,A01-54,iRFP,9,73.5408805,122.6149584,100.3510204,93.37100213,15.98554463,21.87495812,15.75835538,17.98752503,0.217369503,0.178403666,0.157032338,0.192645732
A01,56,A01-56,iRFP,4,46.48120301,69.28901734,72.34814815,65.09375,15.86460642,18.81113143,16.10320964,16.35368202,0.341312302,0.271487923,0.222579431,0.251232753
A01,57,A01-57,iRFP,9,44.84364821,89.79357798,66.65934066,59.83033932,16.59799595,20.10257081,14.77416301,16.2157718,0.370130366,0.223875374,0.221636801,0.271029247
A01,58,A01-58,iRFP,1,61.24213075,NA,NA,NA,17.0067489,NA,NA,NA,0.277696884,NA,NA,NA
A01,59,A01-59,iRFP,2,21.47179487,74.59340659,NA,NA,12.29938395,19.25150374,NA,NA,0.572815828,0.258085863,NA,NA
A01,6,A01-6,iRFP,7,29.74518201,70.71634615,54.32955832,46.44966443,14.2116667,19.77010472,15.05637193,15.88997527,0.477780458,0.279569092,0.277130395,0.342090206
A01,60,A01-60,iRFP,1,42.67095116,NA,NA,NA,15.41340199,NA,NA,NA,0.361215337,NA,NA,NA
A01,61,A01-61,iRFP,2,52.61290323,113.8601399,NA,NA,16.41685836,21.62105339,NA,NA,0.31203103,0.18989133,NA,NA
A01,63,A01-63,iRFP,9,54.42105263,84.57323232,80.71086957,73.96828753,16.04877147,18.62392809,15.46683307,18.1857066,0.294900056,0.220210669,0.191632591,0.245858154
A01,64,A01-64,iRFP,9,76.50653595,102.2007168,104.1997187,96.49635037,17.41932731,19.16881801,16.56651937,17.78785122,0.227684172,0.187560504,0.158988139,0.184337036
A01,66,A01-66,iRFP,2,37.07371795,94.86597938,NA,NA,15.61427114,19.4091215,NA,NA,0.421168202,0.204595173,NA,NA
A01,67,A01-67,iRFP,1,38.16961131,NA,NA,NA,14.69018791,NA,NA,NA,0.38486606,NA,NA,NA
A01,68,A01-68,iRFP,4,38.96103896,63.01176471,59.74253731,54.83257919,15.92197552,19.45421621,14.81165776,16.51912445,0.408664038,0.308739428,0.247924819,0.301264772
A01,69,A01-69,iRFP,3,78.46969697,111.9079498,107.5092593,NA,19.9181809,21.11316142,16.44997769,NA,0.253832775,0.18866543,0.153009869,NA
A01,7,A01-7,iRFP,8,43.96846011,84.89942857,73.5567806,61.68895643,15.99898326,20.4160483,17.71275852,18.160645,0.363874087,0.24047333,0.240803885,0.294390537
A01,70,A01-70,iRFP,4,42.26388889,63.34349594,65.10362694,59.39637827,16.28073423,18.19245294,15.15047053,16.34591572,0.385216189,0.287203172,0.232713156,0.275200546
A01,71,A01-71,iRFP,4,61.76579926,94.24309392,83.28651685,76.87309645,17.53321281,19.88368162,17.55703189,17.9769773,0.28386604,0.210982904,0.210802811,0.23385265
A01,73,A01-73,iRFP,2,23.56422018,61.31555556,NA,NA,14.13071366,18.89933515,NA,NA,0.599668207,0.308230676,NA,NA
A01,74,A01-74,iRFP,7,50.17821782,86.71753247,74.32407407,74.42546584,16.32188353,19.92081934,15.93843985,17.13580313,0.325278263,0.229720782,0.214445185,0.230241127
A01,75,A01-75,iRFP,9,34.64253394,70.25806452,58.00927152,47.3638191,13.48918792,19.0616731,14.71544375,15.32581812,0.389382253,0.271309397,0.253673997,0.323576485
A01,76,A01-76,iRFP,4,28.88679245,81.95607235,54.54411765,43.35526316,15.14989305,20.23723978,13.84670527,14.52285309,0.524457434,0.246927887,0.253862485,0.334973243
A01,77,A01-77,iRFP,1,52.77739726,NA,NA,NA,16.41692774,NA,NA,NA,0.311059821,NA,NA,NA
A01,78,A01-78,iRFP,9,40.96283784,79.07482993,62.23647295,53.66611018,15.60541651,18.98397287,15.12354574,16.44189557,0.380965219,0.240076051,0.243001331,0.306373902
A01,79,A01-79,iRFP,9,20.30035336,58.23452769,43.85386819,42.31730769,12.67303835,18.74699663,13.74194708,15.81823705,0.624276737,0.321922361,0.313357696,0.373800648
A01,8,A01-8,iRFP,9,46.64461738,79.35684988,70.22148024,60.99888393,16.21821945,20.07785851,15.48765554,16.40138955,0.347697556,0.253007252,0.220554387,0.268880158
A01,80,A01-80,iRFP,5,23.25365854,64.75806452,49.95189003,41.16254417,14.10704888,17.81598185,15.44876539,16.42915221,0.606659329,0.275116033,0.30927289,0.399128687
A01,81,A01-81,iRFP,9,49.63366337,80.73873874,72.25555556,65.88262911,15.89490408,18.09992868,17.20910253,17.23573994,0.320244427,0.224178987,0.238169957,0.261612813
A01,82,A01-82,iRFP,9,34.94527363,72.9869281,54.64117647,50.37823834,15.50772525,19.6646682,14.99001859,15.36657239,0.44377175,0.269427262,0.274335576,0.305024012
A01,83,A01-83,iRFP,5,66.97402597,112.5909091,94.34982332,90.34418605,18.53834731,20.99016889,15.55593663,16.67368491,0.276799058,0.18642863,0.164875101,0.184557365
A01,84,A01-84,iRFP,9,53.57249071,84.78947368,75.7027027,65.73170732,16.06559931,20.30770906,15.32682662,17.18880008,0.299885241,0.239507431,0.202460759,0.26149937
A01,85,A01-85,iRFP,1,56.69709544,NA,NA,NA,17.7601456,NA,NA,NA,0.313246128,NA,NA,NA
A01,86,A01-86,iRFP,1,56.73577236,NA,NA,NA,16.28903382,NA,NA,NA,0.287103412,NA,NA,NA
A01,87,A01-87,iRFP,9,73.52112676,110.0179372,103.3634538,94.43893805,16.74317953,21.80466979,16.95631138,18.3206032,0.227732902,0.198191952,0.164045519,0.193994168
A01,88,A01-88,iRFP,1,45.8962963,NA,NA,NA,15.62086642,NA,NA,NA,0.34035135,NA,NA,NA
A01,89,A01-89,iRFP,9,37.74634146,73.45886076,64.85199241,55.05904762,15.96930131,19.02234406,15.4217407,16.32229965,0.423068851,0.258952342,0.237799027,0.296450817
A01,9,A01-9,iRFP,9,65.05152979,94.3266055,83.67561762,76.9049904,16.28373377,19.87870855,16.85504118,17.59028245,0.250320536,0.210743389,0.201433125,0.228727451
A01,90,A01-90,iRFP,7,55.10619469,86.47484277,78.01157407,71.40806045,16.1131853,19.67177996,15.89104556,17.22615127,0.292402431,0.227485582,0.203701127,0.241235389
A01,91,A01-91,iRFP,9,25.66820277,67.19047619,52.13618677,42.2,13.1702973,17.83131465,15.35345352,15.13600923,0.513097758,0.265384555,0.294487466,0.358673205
B01,1,B01-1,iRFP,4,58.17208183,67.83842795,63.47534517,60.95708155,14.85746124,24.43179811,22.10216737,23.94607415,0.255405355,0.360146879,0.348200822,0.392834984
B01,10,B01-10,iRFP,3,61.97154472,76.65340909,82.61572052,NA,13.52276022,27.00566628,26.20111863,NA,0.218209184,0.352308744,0.317144467,NA
B01,11,B01-11,iRFP,9,74.11007026,74.33478894,79.0361596,77.46806283,14.30610707,15.16215115,18.30252668,18.58676487,0.193038639,0.203971133,0.231571559,0.239928097
B01,12,B01-12,iRFP,1,48.28767123,NA,NA,NA,14.43961123,NA,NA,NA,0.299033084,NA,NA,NA
B01,13,B01-13,iRFP,9,50.47544643,48.69745223,48.62974052,48.4056272,14.01925732,14.01912456,15.39725569,15.38782169,0.277744098,0.287882095,0.316622205,0.31789324
B01,14,B01-14,iRFP,8,70.04896907,69.92607004,73.35,67.19389313,14.72130002,14.24146892,15.769848,15.45080228,0.210157269,0.203664655,0.214994519,0.229943549
B01,15,B01-15,iRFP,1,72.63425926,NA,NA,NA,14.6390375,NA,NA,NA,0.201544528,NA,NA,NA
B01,16,B01-16,iRFP,9,73.86174242,75.28853755,74.45169713,73.11161388,14.81942491,14.69773675,16.50665317,16.49798839,0.200637359,0.195218784,0.221709562,0.225654824
B01,17,B01-17,iRFP,1,62.14906832,NA,NA,NA,14.39600151,NA,NA,NA,0.231636642,NA,NA,NA
B01,18,B01-18,iRFP,4,53.10238095,48.61484099,52.83928571,48.31527094,13.72940862,13.53636871,15.35098506,15.75267944,0.258546008,0.278441078,0.290522191,0.326039348
B01,19,B01-19,iRFP,3,57.14897959,56.99724897,61.2230014,NA,14.0856074,14.92613609,16.93173915,NA,0.246471722,0.261874676,0.276558463,NA
B01,2,B01-2,iRFP,1,80.98989899,NA,NA,NA,18.21855436,NA,NA,NA,0.224948476,NA,NA,NA
B01,20,B01-20,iRFP,9,71.44606947,71.27958388,68.07180157,68.9877175,13.595297,15.05416702,17.37953881,16.6207579,0.190287543,0.211198862,0.255311868,0.240923435
B01,21,B01-21,iRFP,6,52.62749446,52.67537313,54.75172414,57.54181818,15.61733495,12.86508022,15.5399512,15.10042373,0.296752394,0.2442333,0.283825787,0.26242521
B01,22,B01-22,iRFP,9,53.40625,51.43877551,52.24876847,53.14645309,13.62681454,13.21472302,16.37114745,15.48991161,0.255153929,0.256901975,0.313330781,0.29145711
B01,23,B01-23,iRFP,1,67.36091549,NA,NA,NA,14.75414792,NA,NA,NA,0.219031286,NA,NA,NA
B01,25,B01-25,iRFP,1,70.04684685,NA,NA,NA,14.67256937,NA,NA,NA,0.209467949,NA,NA,NA
B01,26,B01-26,iRFP,1,49.68058076,NA,NA,NA,13.37371411,NA,NA,NA,0.269193997,NA,NA,NA
B01,27,B01-27,iRFP,2,87.10824742,86.01965066,NA,NA,15.35351916,14.12891544,NA,NA,0.176257927,0.164252183,NA,NA
B01,28,B01-28,iRFP,2,66.44423792,64.89193548,NA,NA,14.64288827,14.26103193,NA,NA,0.220378602,0.219765859,NA,NA
B01,29,B01-29,iRFP,9,47.96703297,48.51470588,53.40432612,50.43277311,14.36758451,13.70298663,16.94754306,16.61760031,0.299530399,0.282450164,0.317344011,0.329500031
B01,3,B01-3,iRFP,7,64.93596059,68.08593092,73.67710372,67.89588895,14.85698116,16.9625991,22.46904323,23.63003123,0.228794354,0.249135157,0.304966429,0.348033314
B01,30,B01-30,iRFP,1,39.72873563,NA,NA,NA,13.79871648,NA,NA,NA,0.347323323,NA,NA,NA
B01,31,B01-31,iRFP,1,77.2673031,NA,NA,NA,14.23499185,NA,NA,NA,0.184230474,NA,NA,NA
B01,32,B01-32,iRFP,2,77.73407202,77.57968127,NA,NA,14.65829357,15.15315653,NA,NA,0.188569738,0.195323779,NA,NA
B01,33,B01-33,iRFP,9,61.53693182,59.03355705,60.5694165,55.24460432,13.94749895,13.85709234,15.74953962,15.86604978,0.226652492,0.234732465,0.260024622,0.287196369
B01,37,B01-37,iRFP,8,37.01139601,36.38474576,40.54416961,37.44248985,13.61455087,14.19284032,16.45469182,15.27263757,0.367847537,0.390076666,0.405846068,0.407895886
B01,38,B01-38,iRFP,3,42.74930362,41.88910891,45.12903226,NA,13.34765869,13.90190457,15.28227296,NA,0.31223102,0.331873963,0.338635069,NA
B01,4,B01-4,iRFP,2,49.53658537,50.18556701,NA,NA,13.30241905,13.63181535,NA,NA,0.268537263,0.271628202,NA,NA
B01,40,B01-40,iRFP,6,51.53915663,53.3125,55.25813953,50.958159,15.17830679,12.79511015,16.5317416,14.43780219,0.294500488,0.240002066,0.299172968,0.283326605
B01,41,B01-41,iRFP,4,45.1414791,44.53881279,46.0328125,45.93265993,14.44646119,13.5526068,15.47166316,14.67270918,0.320026315,0.304287563,0.336100758,0.319439571
B01,42,B01-42,iRFP,9,54.68838527,54.13267813,58.49870801,52.98280802,13.82239862,13.92775633,15.25788222,15.40140068,0.25274834,0.257289253,0.26082426,0.290686758
B01,43,B01-43,iRFP,7,66.92727273,64.33682373,64.46799431,65.06723891,14.01316298,14.07595905,17.54980841,17.05699609,0.209378963,0.218785421,0.272225134,0.262144151
B01,44,B01-44,iRFP,9,71.69480519,69.19668737,66.99553571,65.70898876,14.49645184,14.48911312,16.48921846,16.74681348,0.202196684,0.209390271,0.246124138,0.254863357
B01,45,B01-45,iRFP,3,54.65994236,53.7919708,56.16557377,NA,13.2972959,14.28657968,15.86584521,NA,0.243273142,0.265589445,0.282483453,NA
B01,46,B01-46,iRFP,3,54.75290698,54.05922166,53.95425667,NA,13.89181592,14.69814308,16.28261962,NA,0.253718326,0.271889654,0.301785635,NA
B01,47,B01-47,iRFP,5,41.65819209,38.29801325,39.57177322,34.75763962,13.83821382,12.70320641,15.33002366,14.04569755,0.332184695,0.331693614,0.387397946,0.404103895
B01,48,B01-48,iRFP,5,88.43396226,87.78457447,83.00706714,82.91107383,13.5977839,14.18696871,16.2046307,15.66781246,0.153762011,0.161611181,0.195219892,0.188971289
B01,49,B01-49,iRFP,1,57.43715847,NA,NA,NA,13.64679896,NA,NA,NA,0.237595301,NA,NA,NA
B01,5,B01-5,iRFP,2,45.86729858,45.35549133,NA,NA,13.66739025,14.05836388,NA,NA,0.297976787,0.309959466,NA,NA
B01,51,B01-51,iRFP,1,63.49662162,NA,NA,NA,14.78562996,NA,NA,NA,0.232856955,NA,NA,NA
B01,52,B01-52,iRFP,1,95.2975,NA,NA,NA,13.58212037,NA,NA,NA,0.142523365,NA,NA,NA
B01,53,B01-53,iRFP,9,51.34137931,38.09756098,43.80645161,40.70949721,14.23560416,13.0553323,15.60483663,14.54330729,0.277273504,0.342681578,0.356222338,0.357246055
B01,54,B01-54,iRFP,1,49.41580756,NA,NA,NA,12.82618232,NA,NA,NA,0.259556262,NA,NA,NA
B01,57,B01-57,iRFP,9,46.30388693,45.83917526,47.26256983,43.91678623,13.5742775,13.70284459,15.48700288,14.21444562,0.293156329,0.298933053,0.327680085,0.32366771
B01,58,B01-58,iRFP,9,65.94095941,65.98424069,66.90379404,68.43555094,15.54271051,14.0688456,18.79709693,19.27755754,0.235706466,0.213215238,0.280957115,0.281689228
B01,59,B01-59,iRFP,1,57.82926829,NA,NA,NA,14.25167441,NA,NA,NA,0.246443969,NA,NA,NA
B01,60,B01-60,iRFP,4,36.99484536,37.79166667,38.756,38.42122187,12.97717958,12.66780423,13.33118389,15.2150522,0.350783453,0.335200994,0.343977291,0.396006464
B01,61,B01-61,iRFP,6,60.23809524,57.2375,55.74917492,56.7027027,14.19111536,13.82524299,16.15998167,15.19777698,0.235583733,0.241541699,0.289869432,0.268025619
B01,62,B01-62,iRFP,8,52.65843621,52.34507042,53.0787172,52.41290323,12.32159104,13.52829366,15.92299936,14.47769679,0.233990827,0.258444464,0.299988398,0.276223905
B01,63,B01-63,iRFP,9,58.6025641,58.13253012,59.17924528,57.85670732,14.47367762,13.40856684,15.4016236,15.23057192,0.246980279,0.230655139,0.260253802,0.263246435
B01,64,B01-64,iRFP,2,60.55947137,61.61904762,NA,NA,14.00219415,13.95541776,NA,NA,0.231213943,0.226478959,NA,NA
B01,66,B01-66,iRFP,9,42.116,40.63350785,37.07667387,32.43937419,13.74796509,13.51494142,14.83922318,14.13415565,0.326430931,0.332605825,0.400230701,0.435709874
B01,67,B01-67,iRFP,5,77.05263158,81.45785877,77.78873239,73.02487562,15.7392916,14.29584663,15.97018833,14.73663922,0.204266763,0.175499907,0.205302077,0.201803003
B01,68,B01-68,iRFP,4,78.55609756,76.68064516,76.25845411,78.79562044,15.41215942,14.61057768,16.37980268,16.29165685,0.196193038,0.190538012,0.214793269,0.206758406
B01,69,B01-69,iRFP,9,54.50232558,53.93929712,54.64102564,52.41747573,13.68682083,14.42218812,15.79481768,15.22678036,0.251123611,0.267378125,0.289065176,0.290490531
B01,7,B01-7,iRFP,9,72.95394737,74.28934967,76.36324786,67.05974026,14.69914911,17.17515713,20.1995519,15.4492572,0.201485316,0.231192724,0.264519287,0.230380511
B01,70,B01-70,iRFP,1,65.77578475,NA,NA,NA,13.99435973,NA,NA,NA,0.212758537,NA,NA,NA
B01,71,B01-71,iRFP,2,54.64179104,55.28365385,NA,NA,13.93235416,13.17600245,NA,NA,0.254976162,0.238334508,NA,NA
B01,72,B01-72,iRFP,3,86.56976744,79.15824916,78.12092131,NA,14.47334414,14.68886776,16.71916516,NA,0.167187051,0.185563323,0.214016487,NA
B01,73,B01-73,iRFP,8,60.98909091,57.05944518,54.79873646,53.6744868,15.25813849,14.60082357,16.2762179,15.91069297,0.250178159,0.255887934,0.297018124,0.296429345
B01,74,B01-74,iRFP,7,78.49107143,75.66153846,76.06024096,72.42216359,14.12507619,13.67971763,15.48325905,15.68206998,0.179957745,0.180801473,0.203565738,0.216536889
B01,75,B01-75,iRFP,9,70.25757576,72.25,78.04507042,81.7225,16.29337469,14.49234556,18.27561131,22.01716362,0.23190915,0.200586098,0.234167401,0.269413731
B01,77,B01-77,iRFP,1,41.55274262,NA,NA,NA,13.36103515,NA,NA,NA,0.321544002,NA,NA,NA
B01,79,B01-79,iRFP,4,82.38028169,77.27300614,76.25694444,75.41926346,14.78423808,14.19244403,17.04490795,15.67281881,0.179463311,0.18366626,0.223519419,0.207809227
B01,8,B01-8,iRFP,2,48.95873016,42.91428571,NA,NA,13.95428631,13.34914963,NA,NA,0.28502141,0.311065404,NA,NA
B01,80,B01-80,iRFP,1,73.59907834,NA,NA,NA,13.70292441,NA,NA,NA,0.18618337,NA,NA,NA
B01,81,B01-81,iRFP,1,52.86511628,NA,NA,NA,13.27825436,NA,NA,NA,0.251172329,NA,NA,NA
B01,9,B01-9,iRFP,2,71.87900356,72.48768473,NA,NA,14.13671001,14.76010453,NA,NA,0.196673706,0.203622237,NA,NA
C01,1,C01-1,iRFP,9,97.997151,98.97619048,99.54956689,100.3317625,16.67657801,21.59133949,19.34005496,23.03427802,0.170174111,0.218146803,0.194275631,0.229581116
C01,10,C01-10,iRFP,8,68.91440501,67.74162679,69.38823529,67.55576208,14.85528596,18.16889325,15.18084638,17.44981264,0.215561405,0.268208694,0.218781272,0.258302358
C01,100,C01-100,iRFP,9,66.71428571,66.82020202,67.0987395,66.04761905,15.05285083,18.23488709,13.708272,17.29788369,0.225631597,0.272894821,0.204299993,0.261900186
C01,101,C01-101,iRFP,9,46.61538462,44.89694656,46.5170068,47.93305439,13.09729936,14.7273202,14.45605762,16.55078768,0.280965168,0.328024984,0.3107693,0.345289652
C01,11,C01-11,iRFP,9,72.88,73.97069597,73.94623656,66.34463277,15.40418558,20.71556594,15.73723189,16.2810724,0.211363688,0.280050981,0.212819917,0.2454015
C01,12,C01-12,iRFP,1,77.88505747,NA,NA,NA,15.44990071,NA,NA,NA,0.19836797,NA,NA,NA
C01,13,C01-13,iRFP,9,63.83680556,66.56548348,66.63549416,73.43478261,15.26892381,19.14873647,14.39107552,16.89768437,0.23918684,0.287667654,0.215967116,0.230104642
C01,14,C01-14,iRFP,4,64.10359408,63.9717608,68.17263844,64.71835443,14.26878228,17.2986528,15.10472133,17.14697574,0.222589427,0.270410765,0.221565744,0.264947647
C01,15,C01-15,iRFP,7,68.85933504,72.4971537,67.58504673,65.85795455,14.24172604,19.79984023,14.26333646,17.6287658,0.206823462,0.273111967,0.211042785,0.267678611
C01,16,C01-16,iRFP,9,78.56756757,76.0304878,61.6996587,61.52580645,15.08675908,17.29969821,14.67713622,16.64848085,0.192022733,0.227536331,0.237880347,0.27059346
C01,17,C01-17,iRFP,9,42.32352941,46.20646067,47.13964497,46.52874859,14.11336898,16.86498976,14.44776439,18.00447824,0.333463895,0.364992027,0.306488613,0.386953846
C01,18,C01-18,iRFP,1,85.58754864,NA,NA,NA,15.06642622,NA,NA,NA,0.176035258,NA,NA,NA
C01,19,C01-19,iRFP,1,68.147343,NA,NA,NA,14.71697663,NA,NA,NA,0.215958187,NA,NA,NA
C01,2,C01-2,iRFP,1,48.12678571,NA,NA,NA,13.11433228,NA,NA,NA,0.272495495,NA,NA,NA
C01,20,C01-20,iRFP,9,43.08536585,43.97933884,50.0984975,43.2492163,14.14679247,18.74071635,16.16697042,16.22333233,0.328343329,0.426125468,0.322703698,0.375112747
C01,21,C01-21,iRFP,8,52.2853717,60.21860465,55.09486166,56.22299652,13.89054858,16.15833367,13.05108893,16.83179009,0.26566797,0.268327932,0.236883959,0.299375543
C01,22,C01-22,iRFP,2,67.25284738,65.38403042,NA,NA,14.78771068,18.49141337,NA,NA,0.219882299,0.282812382,NA,NA
C01,23,C01-23,iRFP,9,51.67039106,48.34323432,45.64218009,48.21967213,13.98180909,16.99080548,13.93340366,16.14263086,0.270596154,0.35146191,0.305274718,0.334772721
