well,id,well-id,well-id,puncta,group,last_tp,Cy5-mean-1,Cy5-mean-2,Cy5-mean-3,Cy5-mean-4,Cy5-std-1,Cy5-std-2,Cy5-std-3,Cy5-std-4,Cy5-CV-1,Cy5-CV-2,Cy5-CV-3,Cy5-CV-4
A12,96,A12-96,A12-96,0,ubqln2-P506T-?UBL,1,85.42635659,NA,NA,NA,20.70493152,NA,NA,NA,0.242371703,NA,NA,NA
A12,98,A12-98,A12-98,0,ubqln2-P506T-?UBL,1,70.74626866,NA,NA,NA,24.9497066,NA,NA,NA,0.352664629,NA,NA,NA
A12,99,A12-99,A12-99,0,ubqln2-P506T-?UBL,9,53.82323232,78.43171806,88.32945736,83.44978166,17.1332881,25.61591015,39.91410332,41.69627508,0.318325143,0.326601416,0.451877601,0.49965709
B12,10,B12-10,B12-10,0,ubqln2-P506T-?UBL,1,86.34759358,NA,NA,NA,22.87816367,NA,NA,NA,0.264954271,NA,NA,NA
B12,16,B12-16,B12-16,0,ubqln2-P506T-?UBL,1,90.48854962,NA,NA,NA,33.77583634,NA,NA,NA,0.373260888,NA,NA,NA
B12,18,B12-18,B12-18,0,ubqln2-P506T-?UBL,1,101.7565923,NA,NA,NA,23.49678633,NA,NA,NA,0.230911686,NA,NA,NA
B12,19,B12-19,B12-19,0,ubqln2-P506T-?UBL,1,67.63527054,NA,NA,NA,39.78050044,NA,NA,NA,0.588162066,NA,NA,NA
B12,2,B12-2,B12-2,0,ubqln2-P506T-?UBL,1,73.93820803,NA,NA,NA,39.60947744,NA,NA,NA,0.535710541,NA,NA,NA
B12,21,B12-21,B12-21,0,ubqln2-P506T-?UBL,1,89.74348697,NA,NA,NA,34.30270666,NA,NA,NA,0.382230598,NA,NA,NA
B12,31,B12-31,B12-31,0,ubqln2-P506T-?UBL,1,58.40801887,NA,NA,NA,19.66826368,NA,NA,NA,0.3367391,NA,NA,NA
B12,33,B12-33,B12-33,0,ubqln2-P506T-?UBL,1,99.3487395,NA,NA,NA,20.94019642,NA,NA,NA,0.210774656,NA,NA,NA
B12,37,B12-37,B12-37,0,ubqln2-P506T-?UBL,4,94.71776156,102.380198,104.5298013,107.1867322,47.4208076,35.03828181,33.47770658,29.34919846,0.500653804,0.342236902,0.320269494,0.273813726
B12,42,B12-42,B12-42,0,ubqln2-P506T-?UBL,1,54.6197479,NA,NA,NA,16.46119542,NA,NA,NA,0.301378092,NA,NA,NA
B12,44,B12-44,B12-44,0,ubqln2-P506T-?UBL,1,71.09034268,NA,NA,NA,16.34198195,NA,NA,NA,0.229876258,NA,NA,NA
B12,47,B12-47,B12-47,0,ubqln2-P506T-?UBL,2,96.99757282,105.3890339,NA,NA,35.97811489,31.09074707,NA,NA,0.370917682,0.295009318,NA,NA
B12,49,B12-49,B12-49,0,ubqln2-P506T-?UBL,1,89.07894737,NA,NA,NA,24.74159249,NA,NA,NA,0.277749044,NA,NA,NA
B12,5,B12-5,B12-5,0,ubqln2-P506T-?UBL,2,100.8260135,111.2541899,NA,NA,26.42266506,40.29922538,NA,NA,0.262061983,0.362226586,NA,NA
B12,50,B12-50,B12-50,0,ubqln2-P506T-?UBL,9,87.81073446,90.51699463,89.75139665,76.83541667,24.6193805,48.50678334,34.72022555,34.87573171,0.280368689,0.535885924,0.386848861,0.453901771
B12,52,B12-52,B12-52,0,ubqln2-P506T-?UBL,2,81.56941176,142.8452381,NA,NA,37.35351633,287.0632231,NA,NA,0.45793534,2.009610029,NA,NA
B12,57,B12-57,B12-57,0,ubqln2-P506T-?UBL,1,94.28328612,NA,NA,NA,26.57693261,NA,NA,NA,0.281883817,NA,NA,NA
B12,60,B12-60,B12-60,0,ubqln2-P506T-?UBL,2,92.53135314,120.9808429,NA,NA,25.52986035,46.97308695,NA,NA,0.275904971,0.388268802,NA,NA
B12,62,B12-62,B12-62,0,ubqln2-P506T-?UBL,1,82.45341615,NA,NA,NA,15.72648607,NA,NA,NA,0.190731771,NA,NA,NA
B12,64,B12-64,B12-64,0,ubqln2-P506T-?UBL,2,140.03125,208.9214876,NA,NA,48.9331715,83.22600685,NA,NA,0.349444653,0.398360206,NA,NA
B12,66,B12-66,B12-66,0,ubqln2-P506T-?UBL,2,95.47301587,155.1511936,NA,NA,30.45373908,74.03903161,NA,NA,0.318977449,0.477205685,NA,NA
B12,70,B12-70,B12-70,0,ubqln2-P506T-?UBL,7,71.65991903,68.45454545,69.63383298,64.51791045,26.03341307,30.82616739,26.34657763,24.25687424,0.363291132,0.450315858,0.37835886,0.375971169
B12,71,B12-71,B12-71,0,ubqln2-P506T-?UBL,3,103.2230483,116.2690476,114.2477876,NA,22.54896507,31.6474101,22.66552916,NA,0.218448936,0.272191187,0.198389217,NA
B12,72,B12-72,B12-72,0,ubqln2-P506T-?UBL,8,101.3035019,159.2478448,220.6022727,301.0279851,23.78554697,80.75575801,194.767892,278.1083576,0.234794913,0.507107384,0.882891593,0.923862137
B12,75,B12-75,B12-75,0,ubqln2-P506T-?UBL,1,83.79464286,NA,NA,NA,22.77731421,NA,NA,NA,0.271823036,NA,NA,NA
B12,76,B12-76,B12-76,0,ubqln2-P506T-?UBL,9,92.78676471,136.4422442,174.2395833,181.436214,23.22251952,55.42249187,105.1164528,185.8133468,0.250278362,0.406197451,0.603286869,1.024124913
B12,77,B12-77,B12-77,0,ubqln2-P506T-?UBL,1,121.253012,NA,NA,NA,33.19064199,NA,NA,NA,0.273730454,NA,NA,NA
B12,78,B12-78,B12-78,0,ubqln2-P506T-?UBL,1,75.74672489,NA,NA,NA,16.90886309,NA,NA,NA,0.223228966,NA,NA,NA
B12,8,B12-8,B12-8,0,ubqln2-P506T-?UBL,2,106.2546125,120.6398601,NA,NA,39.4116056,56.61613389,NA,NA,0.370916656,0.469298736,NA,NA
B12,80,B12-80,B12-80,0,ubqln2-P506T-?UBL,8,101.3305439,115.9547872,144.0928793,127.5857988,28.30060447,45.95812824,85.12226162,91.72524595,0.279289969,0.396345242,0.590745789,0.718929903
B12,84,B12-84,B12-84,0,ubqln2-P506T-?UBL,9,73.02788845,94.25218914,111.589172,134.1569966,15.87009074,36.79915871,50.94079876,100.0724273,0.217315481,0.390432934,0.456503063,0.745935209
B12,86,B12-86,B12-86,0,ubqln2-P506T-?UBL,4,95.26732673,136.464986,130.9287054,156.1421053,22.22695317,68.24701412,102.991769,151.3181584,0.233311398,0.500106409,0.786624817,0.969105407
B12,88,B12-88,B12-88,0,ubqln2-P506T-?UBL,9,56.12935323,76.51206434,87.47014925,80.83669355,16.12677339,77.1533968,60.71665991,82.39403963,0.287314435,1.008382109,0.694141492,1.019265336
B12,89,B12-89,B12-89,0,ubqln2-P506T-?UBL,1,67.3047619,NA,NA,NA,19.44032324,NA,NA,NA,0.288840235,NA,NA,NA
B12,9,B12-9,B12-9,0,ubqln2-P506T-?UBL,2,88.89093484,84.06792453,NA,NA,31.02988147,17.97616633,NA,NA,0.349078132,0.213829073,NA,NA
B12,90,B12-90,B12-90,0,ubqln2-P506T-?UBL,1,65.29353234,NA,NA,NA,20.53654449,NA,NA,NA,0.314526474,NA,NA,NA
B12,92,B12-92,B12-92,0,ubqln2-P506T-?UBL,1,80.96954315,NA,NA,NA,20.18239385,NA,NA,NA,0.24925908,NA,NA,NA
B12,93,B12-93,B12-93,0,ubqln2-P506T-?UBL,1,86.66976744,NA,NA,NA,27.30751268,NA,NA,NA,0.315075412,NA,NA,NA
C12,1,C12-1,C12-1,0,ubqln2-P506T-?UBL,3,69.52739726,50.63894967,42.80968858,NA,34.42131425,19.50477845,16.97224815,NA,0.495075547,0.38517344,0.396458108,NA
C12,13,C12-13,C12-13,0,ubqln2-P506T-?UBL,1,96.08687616,NA,NA,NA,36.22064537,NA,NA,NA,0.376957258,NA,NA,NA
C12,19,C12-19,C12-19,0,ubqln2-P506T-?UBL,4,61.88,152.9546485,186.2253219,204.1762523,31.26944165,128.7500091,221.5839165,117.1143476,0.505323879,0.841752835,1.189869961,0.573594364
C12,2,C12-2,C12-2,0,ubqln2-P506T-?UBL,2,148.0385093,164.1872832,NA,NA,62.40122437,65.85515425,NA,NA,0.421520216,0.401097777,NA,NA
C12,21,C12-21,C12-21,0,ubqln2-P506T-?UBL,1,81.93269231,NA,NA,NA,26.62444092,NA,NA,NA,0.324955035,NA,NA,NA
C12,24,C12-24,C12-24,0,ubqln2-P506T-?UBL,1,68.33076923,NA,NA,NA,19.10804843,NA,NA,NA,0.27964047,NA,NA,NA
C12,25,C12-25,C12-25,0,ubqln2-P506T-?UBL,1,65.26126126,NA,NA,NA,22.99483362,NA,NA,NA,0.352350432,NA,NA,NA
C12,26,C12-26,C12-26,0,ubqln2-P506T-?UBL,1,70.87692308,NA,NA,NA,24.78533956,NA,NA,NA,0.349695479,NA,NA,NA
C12,27,C12-27,C12-27,0,ubqln2-P506T-?UBL,1,134.8467967,NA,NA,NA,40.35574998,NA,NA,NA,0.299271106,NA,NA,NA
C12,28,C12-28,C12-28,0,ubqln2-P506T-?UBL,2,152.3514851,213.2047619,NA,NA,44.69805434,176.6801728,NA,NA,0.293387717,0.828687742,NA,NA
C12,39,C12-39,C12-39,0,ubqln2-P506T-?UBL,1,64.37559809,NA,NA,NA,18.64552431,NA,NA,NA,0.289636522,NA,NA,NA
C12,4,C12-4,C12-4,0,ubqln2-P506T-?UBL,2,69.30504305,64.69042316,NA,NA,24.84615268,25.0755637,NA,NA,0.358504253,0.387624048,NA,NA
C12,41,C12-41,C12-41,0,ubqln2-P506T-?UBL,2,72.37883008,158.9630769,NA,NA,18.97135204,140.4850231,NA,NA,0.262111891,0.883758831,NA,NA
